epoch,loss,channel_size,p_mutate,mean_test_loss,mean_ground_truth_f1,ground_truth_acc,mean_student_error,mean_teacher_error,mean_protocol_diversity,mean_protocol_entropy,$p_{m}$,Meta Experiment Index,Experiment Index
49,1.0000001192092896,5,0.0,,,,,,,,0.0,0,2
50,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,2
1,3.9141855239868164,5,0.1,4.723059177398682,0.34375,0.34375,1.1029702425003052,0.8113372921943665,0.36729156970977783,1.3329064846038818,0.1,1,0
2,3.8423328399658203,5,0.1,,,,,,,,0.1,1,0
3,3.7617483139038086,5,0.1,,,,,,,,0.1,1,0
4,3.7821760177612305,5,0.1,,,,,,,,0.1,1,0
5,3.7921924591064453,5,0.1,,,,,,,,0.1,1,0
6,3.73932147026062,5,0.1,4.170853137969971,0.34,0.34,1.1058086156845093,0.5525453090667725,0.4270835220813751,0.9462083578109741,0.1,1,0
7,3.7644457817077637,5,0.1,,,,,,,,0.1,1,0
8,3.740424156188965,5,0.1,,,,,,,,0.1,1,0
9,3.6823158264160156,5,0.1,,,,,,,,0.1,1,0
10,3.6837005615234375,5,0.1,,,,,,,,0.1,1,0
11,3.4354910850524902,5,0.1,2.992344856262207,0.3025,0.3025,0.8132063150405884,1.1791391372680664,1.0,7.222239013367687e-35,0.1,1,0
12,2.88632869720459,5,0.1,,,,,,,,0.1,1,0
13,2.419703722000122,5,0.1,,,,,,,,0.1,1,0
14,2.01509428024292,5,0.1,,,,,,,,0.1,1,0
15,1.7673033475875854,5,0.1,,,,,,,,0.1,1,0
16,1.764084815979004,5,0.1,1.6715424060821533,0.61875,0.61875,0.06392527371644974,0.6063677668571472,0.9993749856948853,0.00020000337099190801,0.1,1,0
17,1.738576889038086,5,0.1,,,,,,,,0.1,1,0
18,1.782449722290039,5,0.1,,,,,,,,0.1,1,0
19,1.4221069812774658,5,0.1,,,,,,,,0.1,1,0
20,1.5437201261520386,5,0.1,,,,,,,,0.1,1,0
21,1.1928051710128784,5,0.1,1.1622158288955688,0.95875,0.95875,0.025702042505145073,0.13526415824890137,0.9993749856948853,0.00020000337099190801,0.1,1,0
22,1.1238187551498413,5,0.1,,,,,,,,0.1,1,0
23,1.1720352172851562,5,0.1,,,,,,,,0.1,1,0
24,1.0545587539672852,5,0.1,,,,,,,,0.1,1,0
25,1.2447617053985596,5,0.1,,,,,,,,0.1,1,0
26,1.1607389450073242,5,0.1,1.0770529508590698,0.97625,0.97625,0.016042273491621017,0.05976048856973648,0.9993749856948853,0.00020000337099190801,0.1,1,0
27,1.070069670677185,5,0.1,,,,,,,,0.1,1,0
28,1.137183427810669,5,0.1,,,,,,,,0.1,1,0
29,1.0697927474975586,5,0.1,,,,,,,,0.1,1,0
30,1.0337517261505127,5,0.1,,,,,,,,0.1,1,0
31,1.0811150074005127,5,0.1,1.0621132850646973,0.98625,0.98625,0.02004922926425934,0.04081426560878754,0.9993749856948853,0.00020000337099190801,0.1,1,0
32,1.1463112831115723,5,0.1,,,,,,,,0.1,1,0
33,1.0499603748321533,5,0.1,,,,,,,,0.1,1,0
34,1.0514953136444092,5,0.1,,,,,,,,0.1,1,0
35,1.050901174545288,5,0.1,,,,,,,,0.1,1,0
36,1.0833452939987183,5,0.1,1.033348798751831,0.99375,0.99375,0.014321021735668182,0.019028538838028908,1.0,7.222239013367687e-35,0.1,1,0
37,1.0583722591400146,5,0.1,,,,,,,,0.1,1,0
38,1.0223000049591064,5,0.1,,,,,,,,0.1,1,0
39,1.0042531490325928,5,0.1,,,,,,,,0.1,1,0
40,1.047894835472107,5,0.1,,,,,,,,0.1,1,0
41,1.0911033153533936,5,0.1,1.0403378009796143,0.99125,0.99125,0.016068197786808014,0.021769750863313675,0.9987499713897705,0.00040000674198381603,0.1,1,0
42,1.0168137550354004,5,0.1,,,,,,,,0.1,1,0
43,1.126038908958435,5,0.1,,,,,,,,0.1,1,0
44,1.0059728622436523,5,0.1,,,,,,,,0.1,1,0
45,1.0585848093032837,5,0.1,,,,,,,,0.1,1,0
46,1.0044944286346436,5,0.1,1.0281747579574585,0.99,0.99,0.021392129361629486,0.00678293826058507,1.0,7.222239013367687e-35,0.1,1,0
47,1.0096479654312134,5,0.1,,,,,,,,0.1,1,0
48,1.0030810832977295,5,0.1,,,,,,,,0.1,1,0
49,1.151897668838501,5,0.1,,,,,,,,0.1,1,0
50,1.00752592086792,5,0.1,,,,,,,,0.1,1,0
51,1.006812334060669,5,0.1,1.0203381776809692,0.99625,0.99625,0.015237734653055668,0.005099508911371231,1.0,7.222239013367687e-35,0.1,1,0
52,1.0318793058395386,5,0.1,,,,,,,,0.1,1,0
53,1.0102641582489014,5,0.1,,,,,,,,0.1,1,0
54,1.0135188102722168,5,0.1,,,,,,,,0.1,1,0
55,1.0173530578613281,5,0.1,,,,,,,,0.1,1,0
56,1.0980172157287598,5,0.1,1.0228660106658936,0.9925,0.9925,0.008619507774710655,0.014246544800698757,1.0,7.222239013367687e-35,0.1,1,0
57,1.0946738719940186,5,0.1,,,,,,,,0.1,1,0
58,1.021216630935669,5,0.1,,,,,,,,0.1,1,0
59,1.0012134313583374,5,0.1,,,,,,,,0.1,1,0
60,1.0010325908660889,5,0.1,,,,,,,,0.1,1,0
61,1.000765085220337,5,0.1,1.025429129600525,0.99375,0.99375,0.005049282219260931,0.017879435792565346,0.9987499713897705,0.00040000674198381603,0.1,1,0
62,1.0105066299438477,5,0.1,,,,,,,,0.1,1,0
63,1.012683391571045,5,0.1,,,,,,,,0.1,1,0
