epoch,loss,channel_size,p_mutate,message_permutation,permutation_subset_size,channel_temp,mean_test_loss,mean_ground_truth_f1,ground_truth_acc,mean_student_error,mean_teacher_error,mean_protocol_diversity,mean_protocol_entropy,Subset Size,Meta Experiment Index,Experiment Index
190,1.1920928955078125e-07,5,0,True,2.0,0.12589254117941676,1.1920928955078125e-07,1.0,1.0,1.1920928955078125e-07,2.7707369327545166,1.0,7.222239013367687e-35,2,0,0
191,1.1920928955078125e-07,5,0,True,2.0,0.12302687708123822,,,,,,,,2,0,0
192,1.1920928955078125e-07,5,0,True,2.0,0.12022644346174136,,,,,,,,2,0,0
193,1.3361375295062317e-07,5,0,True,2.0,0.11748975549395303,,,,,,,,2,0,0
194,1.1921299858386192e-07,5,0,True,2.0,0.11481536214968836,,,,,,,,2,0,0
195,1.1920928955078125e-07,5,0,True,2.0,0.11220184543019635,1.1920928955078125e-07,1.0,1.0,1.1920928955078125e-07,2.9179749488830566,1.0,7.222239013367687e-35,2,0,0
196,1.1920928955078125e-07,5,0,True,2.0,0.1096478196143185,,,,,,,,2,0,0
197,1.1920928955078125e-07,5,0,True,2.0,0.10715193052376067,,,,,,,,2,0,0
198,3.962062237405917e-06,5,0,True,2.0,0.10471285480508997,,,,,,,,2,0,0
199,1.1920928955078125e-07,5,0,True,2.0,0.10232929922807546,1.1920928955078125e-07,1.0,1.0,1.1920928955078125e-07,3.1498491764068604,1.0,7.222239013367687e-35,2,0,0
0,1.1013727188110352,5,0,True,2.0,10.0,1.0945380926132202,0.3525,0.3525,1.0848618745803833,1.4811387062072754,0.4447917938232422,0.6371273994445801,2,0,1
1,0.6210024356842041,5,0,True,2.0,9.772372209558107,,,,,,,,2,0,1
2,0.4124639928340912,5,0,True,2.0,9.54992586021436,,,,,,,,2,0,1
3,0.18928012251853943,5,0,True,2.0,9.33254300796991,,,,,,,,2,0,1
4,0.07055605202913284,5,0,True,2.0,9.120108393559098,,,,,,,,2,0,1
5,0.012116823345422745,5,0,True,2.0,8.912509381337456,5.174173355102539,0.5875,0.5875,4.163431644439697,2.2532126903533936,0.6112499833106995,0.12440183758735657,2,0,1
6,0.004575349390506744,5,0,True,2.0,8.709635899560807,,,,,,,,2,0,1
7,0.001801618142053485,5,0,True,2.0,8.511380382023765,,,,,,,,2,0,1
8,0.09429461508989334,5,0,True,2.0,8.317637711026709,,,,,,,,2,0,1
9,0.044374752789735794,5,0,True,2.0,8.128305161640993,,,,,,,,2,0,1
10,0.0004425461229402572,5,0,True,2.0,7.943282347242815,6.322882175445557,0.585,0.585,5.728628158569336,1.665787935256958,0.5556250214576721,0.14220201969146729,2,0,1
11,0.0002380683581577614,5,0,True,2.0,7.762471166286917,,,,,,,,2,0,1
12,0.0002658161974977702,5,0,True,2.0,7.5857757502918375,,,,,,,,2,0,1
13,8.344000525539741e-05,5,0,True,2.0,7.413102413009175,,,,,,,,2,0,1
14,0.3918316960334778,5,0,True,2.0,7.244359600749901,,,,,,,,2,0,1
15,2.3729411623207852e-05,5,0,True,2.0,7.079457843841379,5.770377159118652,0.61375,0.61375,3.3021857738494873,2.213836908340454,0.6949999928474426,0.09760154038667679,2,0,1
16,1.3629602108267136e-05,5,0,True,2.0,6.918309709189366,,,,,,,,2,0,1
17,1.4275676676334115e-06,5,0,True,2.0,6.760829753919818,,,,,,,,2,0,1
18,3.2640417657603393e-07,5,0,True,2.0,6.60693448007596,,,,,,,,2,0,1
19,1.3928504358773353e-06,5,0,True,2.0,6.4565422903465555,,,,,,,,2,0,1
20,9.036663186634541e-07,5,0,True,2.0,6.3095734448019325,5.566497802734375,0.62125,0.62125,3.378922462463379,2.112508535385132,0.6862499713897705,0.10040156543254852,2,0,1
21,0.24831421673297882,5,0,True,2.0,6.165950018614822,,,,,,,,2,0,1
22,0.04071344435214996,5,0,True,2.0,6.025595860743578,,,,,,,,2,0,1
23,2.7472347937873565e-05,5,0,True,2.0,5.8884365535558905,,,,,,,,2,0,1
24,0.00012461461301427335,5,0,True,2.0,5.7543993733715695,,,,,,,,2,0,1
25,3.486972127575427e-05,5,0,True,2.0,5.623413251903491,5.194095611572266,0.61125,0.61125,4.581998348236084,2.0394506454467773,0.6237499713897705,0.1204017847776413,2,0,1
26,1.7682111774774967e-06,5,0,True,2.0,5.495408738576247,,,,,,,,2,0,1
27,0.029878901317715645,5,0,True,2.0,5.370317963702528,,,,,,,,2,0,1
28,8.046488801483065e-06,5,0,True,2.0,5.248074602497726,,,,,,,,2,0,1
29,1.0107289654115448e-06,5,0,True,2.0,5.128613839913649,,,,,,,,2,0,1
30,3.1496683732257225e-06,5,0,True,2.0,5.011872336272724,5.294472694396973,0.6575,0.6575,4.107168197631836,1.9880163669586182,0.7068750262260437,0.09380149841308594,2,0,1
31,3.9829916204325855e-05,5,0,True,2.0,4.8977881936844625,,,,,,,,2,0,1
32,6.690432201139629e-06,5,0,True,2.0,4.786300923226384,,,,,,,,2,0,1
33,1.3445484910334926e-05,5,0,True,2.0,4.677351412871983,,,,,,,,2,0,1
34,5.890159627597313e-06,5,0,True,2.0,4.57088189614875,,,,,,,,2,0,1
35,6.874791870359331e-05,5,0,True,2.0,4.466835921509632,5.993393421173096,0.58875,0.58875,4.1719889640808105,2.078362464904785,0.7337499856948853,0.08520139753818512,2,0,1
36,1.2214723028591834e-05,5,0,True,2.0,4.36515832240166,,,,,,,,2,0,1
37,0.009575147181749344,5,0,True,2.0,4.265795188015927,,,,,,,,2,0,1
38,5.169461587684054e-07,5,0,True,2.0,4.168693834703355,,,,,,,,2,0,1
39,0.1949322670698166,5,0,True,2.0,4.073802778041127,,,,,,,,2,0,1
40,1.0064677553600632e-06,5,0,True,2.0,3.9810717055349727,5.4566121101379395,0.6325,0.6325,6.1547112464904785,2.043271780014038,0.6818749904632568,0.10180158913135529,2,0,1
41,0.0008337078033946455,5,0,True,2.0,3.8904514499428062,,,,,,,,2,0,1
42,0.0024532987736165524,5,0,True,2.0,3.801893963205613,,,,,,,,2,0,1
43,7.787783943058457e-06,5,0,True,2.0,3.7153522909717256,,,,,,,,2,0,1
44,0.00012764365237671882,5,0,True,2.0,3.6307805477010135,,,,,,,,2,0,1
45,1.5533768191744457e-06,5,0,True,2.0,3.5481338923357546,4.932645797729492,0.65,0.65,2.0933523178100586,2.396972894668579,0.8393750190734863,0.051400862634181976,2,0,1
46,1.3754867040915997e-06,5,0,True,2.0,3.467368504525317,,,,,,,,2,0,1
47,0.3259353041648865,5,0,True,2.0,3.3884415613920256,,,,,,,,2,0,1
48,2.0741322259709705e-06,5,0,True,2.0,3.3113112148259116,,,,,,,,2,0,1
49,4.63435280835256e-05,5,0,True,2.0,3.2359365692962827,,,,,,,,2,0,1
